id,price
0,4531.510561904762
1,1062.7496666666666
2,16308.481504761903
3,6567.615
4,1536.5072
5,2292.892
6,1924.6446666666668
7,1845.9573333333335
8,3436.687
9,15223.42116190477
10,3630.9123333333337
11,542.7612999999999
12,785.7493000000001
13,3755.202166666667
14,856.3888000000002
15,4522.539
16,1890.934
17,3970.554666666667
18,584.7540523809524
19,3675.14
20,895.6156333333334
21,8358.704333333333
22,757.9782666666666
23,11580.485333333334
24,4242.177266666667
25,6728.639
26,5758.2
27,611.7023666666664
28,2263.0503
29,15244.389033333333
30,614.0435333333332
31,4456.1988
32,8303.73338095238
33,6235.7017857142855
34,1695.5736666666664
35,1594.382
36,634.9
37,2383.616633333333
38,15497.256166666668
39,399.862
40,968.282042857143
41,6005.028
42,2283.9
43,4958.732
44,2042.832
45,1336.1223333333335
46,5566.799066666667
47,5540.6294333333335
48,3679.1238333333336
49,1300.4444666666668
50,530.8129
51,735.9226620879123
52,670.013
53,2852.855833333333
54,4818.093133333333
55,889.1400000000001
56,4433.6811
57,1951.392
58,2130.0031
59,885.5829999999999
60,5540.975666666667
61,7860.1379333333325
62,1345.483
63,4527.164366666667
64,3976.766466666666
65,6807.576866666666
66,2841.5876000000003
67,3749.33
68,813.6544
69,706.5833333333334
70,5169.799666666667
71,4561.128
72,1302.487
73,5104.156238095237
74,2819.424
75,15834.406
76,16824.423366666666
77,13057.129766666665
78,903.6605428571429
79,11501.073733333336
80,3713.0138095238103
81,6177.591399999999
82,6556.2066
83,12056.575466666667
84,6608.952
85,12244.022433333334
86,1810.817233333333
87,8839.504333333334
88,1059.8897333333334
89,1825.0807761904762
90,13303.58
91,5177.6985
92,1731.961
93,772.4768333333334
94,2502.8762
95,1003.8489000000001
96,1111.023
97,3261.017
98,988.3384761904762
99,9266.330800000002
100,845.5664999999999
101,1824.8465333333324
102,3346.4419999999996
103,947.7203777777778
104,5933.902333333334
105,965.6705333333333
106,9199.739599999997
107,1008.479
108,568.0056523809524
109,4484.4744
110,3534.271
111,6420.537
112,1374.5163333333333
113,676.85
114,4208.079333333334
